% Model,FULLCELL_NFMZC_charge_1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 03:00"
% Dimension,3
% Nodes,52047
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=740.35
6.461747538672489E-7,1.8888112349932125E-6,3.1074573728278907E-6,NaN
7.640519085914962E-7,2.403E-6,2.886355319883454E-6,NaN
1.0301827984354793E-6,1.9412415194137062E-6,2.7133405370090246E-6,NaN
3.2308737693362224E-7,2.150527714337748E-6,2.824174988787459E-6,NaN
1.0301827984354793E-6,1.9412415194137062E-6,2.7133405370090246E-6,NaN
1.102790010274593E-6,1.4205337621702465E-6,2.876973791295127E-6,NaN
6.461747538672489E-7,1.8888112349932125E-6,3.1074573728278907E-6,NaN
6.052752922476146E-7,1.375501758659423E-6,2.2765114612930176E-6,NaN
1.102790010274593E-6,1.4205337621702465E-6,2.876973791295127E-6,NaN
5.513950051372983E-7,1.0633467703134866E-6,2.897564390445913E-6,NaN
6.461747538672489E-7,1.8888112349932125E-6,3.1074573728278907E-6,NaN
6.052752922476146E-7,1.375501758659423E-6,2.2765114612930176E-6,NaN
6.461747538672489E-7,1.8888112349932125E-6,3.1074573728278907E-6,NaN
1.0301827984354793E-6,1.9412415194137062E-6,2.7133405370090246E-6,NaN
6.052752922476146E-7,1.375501758659423E-6,2.2765114612930176E-6,NaN
3.2308737693362224E-7,2.150527714337748E-6,2.824174988787459E-6,NaN
1.1601212721619785E-6,1.545234505367882E-6,2.346235832135781E-6,NaN
1.102790010274593E-6,1.4205337621702465E-6,2.876973791295127E-6,NaN
1.0301827984354793E-6,1.9412415194137062E-6,2.7133405370090246E-6,NaN
6.052752922476146E-7,1.375501758659423E-6,2.2765114612930176E-6,NaN
1.1601212721619785E-6,1.545234505367882E-6,2.346235832135781E-6,NaN
1.102790010274593E-6,1.4205337621702465E-6,2.876973791295127E-6,NaN
8.622640256271011E-7,8.902539962155584E-7,2.0485130698425693E-6,NaN
1.6341419069678892E-6,9.988580869834358E-7,2.848563437219214E-6,NaN
3.2539411189708424E-7,2.7007550813359668E-6,2.835602140368348E-6,NaN
7.640519085914962E-7,2.403E-6,2.886355319883454E-6,NaN
6.855501663167822E-7,2.7783133841668515E-6,2.4838677201696436E-6,NaN
6.507882237941671E-7,2.98926596898965E-6,3.130311675989668E-6,NaN
7.640519085914962E-7,2.403E-6,2.886355319883454E-6,NaN
1.0301827984354793E-6,1.9412415194137062E-6,2.7133405370090246E-6,NaN
3.2308737693362224E-7,2.150527714337748E-6,2.824174988787459E-6,NaN
