% Model,FULLCELL_NFMZC_charge_1C_mesh_extra_fine.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:12"
% Dimension,3
% Nodes,14
% Expressions,30
% Description,"因变量 cPos, 因变量 cNeg, 因变量 cPos, von Mises 应力, "
% Length unit,m
% X,Y,Z,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=0,xPos (1) @ t=0,cPos (mol/m^3) @ t=0,solid.mises (MPa) @ t=0,epsilonChemPos (1) @ t=0,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=951.33,xPos (1) @ t=951.33,cPos (mol/m^3) @ t=951.33,solid.mises (MPa) @ t=951.33,epsilonChemPos (1) @ t=951.33,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=1902.7,xPos (1) @ t=1902.7,cPos (mol/m^3) @ t=1902.7,solid.mises (MPa) @ t=1902.7,epsilonChemPos (1) @ t=1902.7,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2378.3,xPos (1) @ t=2378.3,cPos (mol/m^3) @ t=2378.3,solid.mises (MPa) @ t=2378.3,epsilonChemPos (1) @ t=2378.3,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=2854,xPos (1) @ t=2854,cPos (mol/m^3) @ t=2854,solid.mises (MPa) @ t=2854,epsilonChemPos (1) @ t=2854,sqrt((x-x_pos_center)^2+(y-y_pos_center)^2+(z-z_pos_center)^2)/Rp_pos (1) @ t=3558.9,xPos (1) @ t=3558.9,cPos (mol/m^3) @ t=3558.9,solid.mises (MPa) @ t=3558.9,epsilonChemPos (1) @ t=3558.9
1.6981767482024838E-5,4.5E-6,4.5E-6,0.7971172365141717,1.0000000000000002,40890.05517910744,0,1.7002353701518368E-18,0.7971172365141717,0.8079435506618168,33036.85636816567,0.5484186262559078,-0.0015364515947054653,0.7971172365141717,0.6159548359657292,25186.427230476736,0.5485435865262487,-0.0030723613122741657,0.7971172365141717,0.5199518095073352,21260.85818123169,0.5485525464814276,-0.0038403855239413183,0.7971172365141717,0.4239494489685225,17335.316361475074,0.5485529282958408,-0.0046084044082518195,0.7971172365141717,0.2816847290037229,11518.104112074152,0.5485475120553325,-0.005746522167970216
1.7088358792742976E-5,4.5E-6,4.5E-6,0.8406158775760288,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.8406158775760288,0.8078708961718555,33033.88552206214,0.6019397108056007,-0.0015370328306251561,0.8406158775760288,0.6158830388052713,25183.491440623904,0.6020447779372111,-0.00307293568955783,0.8406158775760288,0.5198799745140716,21257.920844393353,0.6020531499949779,-0.003840960203887427,0.8406158775760288,0.42387761356206055,17332.37900774103,0.6020535072777112,-0.004608979091503516,0.8406158775760288,0.2816129283088912,11515.168177700585,0.6020486526735016,-0.00574709657352887
1.547797856374425E-5,4.5E-6,4.5E-6,0.22933423422917304,1.0000000000000007,40890.05517910746,0,5.1103961889443585E-18,0.22933423422917304,0.8086053116132806,33063.9158099864,0.05309820884851673,-0.001531157507093755,0.22933423422917304,0.6166044235477631,25212.988902549765,0.05310944375147084,-0.003067164611617896,0.22933423422917304,0.5206019095922148,21287.44080957436,0.053106142214917954,-0.003835184723262282,0.22933423422917304,0.42459955415328576,17361.89919835227,0.05310602601444371,-0.004603203566773714,0.22933423422917304,0.2823343582326673,11544.667487091649,0.05310892868838997,-0.005741325134138662
1.5768719020982648E-5,4.5E-6,4.5E-6,0.3225121003591883,1.0000000000000002,40890.05517910744,0,1.335476112529731E-18,0.3225121003591883,0.8085610340292525,33062.10529713229,0.08308443573989768,-0.001531511727765981,0.3225121003591883,0.6165624746269586,25211.273608863365,0.0830003876982206,-0.0030675002029843306,0.3225121003591883,0.5205598635237789,21285.721543515952,0.0829916988859284,-0.0038355210918097687,0.3225121003591883,0.42455750720156843,17360.179896176433,0.08299150537827206,-0.004603539942387454,0.3225121003591883,0.282292402464526,11542.95191341727,0.08299914217940603,-0.005741660780283792
1.520704130327182E-5,4.5E-6,4.5E-6,0.16083631992649847,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.16083631992649847,0.8086399000176875,33065.33013175116,0.03919707423038393,-0.0015308807998584998,0.16083631992649847,0.616636843236158,25214.314545397116,0.0393484278297361,-0.0030669052541107368,0.16083631992649847,0.5206344198526809,21288.770155918708,0.039351947848687285,-0.003834924641178552,0.16083631992649847,0.4246320652676563,17363.228579612813,0.03935181249938062,-0.00460294347785875,0.16083631992649847,0.28236678434233314,11545.99339250513,0.03934858185445275,-0.005741065725261335
1.5E-5,4.5E-6,4.5E-6,0.10928165429600877,1.0000000000000007,40890.055179107454,0,5.3290705182007515E-18,0.10928165429600877,0.8086662358074918,33066.40700364944,0.024618579752918566,-0.001530670113540066,0.10928165429600877,0.6166615204975614,25215.32359997757,0.024897551556462637,-0.003066707836019509,0.10928165429600877,0.5206591662725532,21289.78203839277,0.024906688977695546,-0.0038347266698195745,0.10928165429600877,0.42465681233684,17364.240488637253,0.02490643087892622,-0.004602745501305281,0.10928165429600877,0.2823914664997857,11547.002647285304,0.024897932145785524,-0.005740868268001714
1.75E-5,4.5E-6,4.5E-6,0.9999999999999993,1.0000000000000007,40890.05517910746,0,5.3290705182007515E-18,0.9999999999999993,0.8075361858823061,33020.19919985345,0.8685194306295204,-0.0015397105129415507,0.9999999999999993,0.615551330668096,25169.927876591446,0.868514131957359,-0.0030755893546552324,0.9999999999999993,0.5195481016431169,21244.350544387566,0.8685463010818016,-0.0038436151868550647,0.9999999999999993,0.42354573760822595,17318.808581676116,0.868547322984681,-0.004611634099134193,0.9999999999999993,0.2812811949377681,11501.603581850612,0.8685244625875832,-0.005749750440497856
1.5774178952526342E-5,4.5E-6,4.5E-6,0.3242441802143385,1.0000000000000002,40890.05517910744,0,1.3420990600566604E-18,0.3242441802143385,0.8085594229359375,33062.039419437744,0.0884869914195484,-0.0015315246165125004,0.3242441802143385,0.6165609084772579,25211.20956891568,0.0883983761909209,-0.003067512732181937,0.3242441802143385,0.5205582955756589,21285.657430030813,0.08838952936843641,-0.003835533635394728,0.3242441802143385,0.42455593923580276,17360.115781969755,0.08838940613317516,-0.0046035524861135785,0.3242441802143385,0.2822908361830057,11542.887868079477,0.08839729422590795,-0.005741673310535955
1.617243060734338E-5,4.5E-6,4.5E-6,0.47736617978760487,0.9999999999999998,40890.055179107425,0,-2.493086620535208E-18,0.47736617978760487,0.8083941528604089,33055.28151692993,0.2089175402608099,-0.001532846777116729,0.47736617978760487,0.6163989054170561,25204.585254844846,0.20895721282752427,-0.003068808756663552,0.47736617978760487,0.5203961598174414,21279.027689930786,0.20895357562302636,-0.0038368307214604698,0.47736617978760487,0.424393802248113,17353.48599159655,0.20895365857424464,-0.004604849582015097,0.47736617978760487,0.28212882310509335,11536.263144383907,0.20895761712037006,-0.005742969415159255
1.669117229521903E-5,4.5E-6,4.5E-6,0.6815367422996399,0.9999999999999999,40890.05517910743,0,-3.086437574782364E-19,0.6815367422996399,0.8081360444125358,33044.7274482542,0.40606898300839755,-0.001534911644699714,0.6815367422996399,0.6161450134110921,25194.203596711443,0.4062324631641841,-0.0030708398927112635,0.6815367422996399,0.5201420908812291,21268.63879710977,0.4062375574888198,-0.0038388632729501673,0.6815367422996399,0.42413973152892526,17343.097025869567,0.4062378592838538,-0.004606882147768598,0.6815367422996399,0.2818749164787501,11525.88088842239,0.4062353078503753,-0.00574500066817
