% Model,FULLCELL_NFMZC_charge_1C_positive_kinetics_low.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:48"
% Dimension,3
% Nodes,26739
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=3552.4
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.0397894465236756E-6,9.0E-6,2.543287736013901E-6,NaN
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.1960000000000002E-6,8.413331435981295E-6,3.002258227345552E-6,NaN
2.0397894465236756E-6,9.0E-6,2.543287736013901E-6,NaN
2.2925867986326557E-6,9.0E-6,3.762819519577142E-6,NaN
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.1960000000000002E-6,8.413331435981295E-6,3.002258227345552E-6,NaN
2.0397894465236756E-6,9.0E-6,2.543287736013901E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.1960000000000002E-6,8.413331435981295E-6,3.002258227345552E-6,NaN
2.7780549446593217E-6,8.419410441045038E-6,2.736056615884223E-6,NaN
2.0397894465236756E-6,9.0E-6,2.543287736013901E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.0397894465236756E-6,9.0E-6,2.543287736013901E-6,NaN
2.019458532664683E-6,9.0E-6,1.1745512267530674E-6,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.019458532664683E-6,9.0E-6,1.1745512267530674E-6,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.019458532664683E-6,9.0E-6,1.1745512267530674E-6,NaN
2.6303685541378003E-6,9.0E-6,0,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.792709481544666E-6,7.851591627117366E-6,8.59403734320536E-7,NaN
2.6303685541378003E-6,9.0E-6,0,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
2.792709481544666E-6,7.851591627117366E-6,8.59403734320536E-7,NaN
2.6303685541378003E-6,9.0E-6,0,NaN
2.1960000000000002E-6,8.383435242703258E-6,1.332643576437341E-6,NaN
1.6927046674124017E-6,8.420128123821168E-6,1.5837715331758768E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
2.019458532664683E-6,9.0E-6,1.1745512267530674E-6,NaN
2.1960000000000002E-6,8.604000000000003E-6,2.1960000000000002E-6,NaN
