case,maximum_von_mises_Pa,maximum_average_stress_Pa,stress_p95_Pa,final_average_xNa,maximum_concentration_delta_xNa,mass_balance_relative_error,element_count,quantitative_ready,mph,metrics
FULLCELL_NFMZC_charge_1C,964928.601440313,518112.98965807597,890176.4204303946,0.28256033904886324,0.0011426634210220943,2.4058311131388543E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_diffusion_low,1379434.6413811813,740152.3118236805,1271218.6587657214,0.282563115423172,0.0016324013242410285,2.4058427279342477E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_diffusion_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_diffusion_low_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_diffusion_high,742216.3774092454,398550.1747655632,684740.8096452155,0.28256033821742255,8.789733739302807E-4,2.405852040956425E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_diffusion_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_diffusion_high_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_strain_low,603080.3755589228,323820.6185360254,556360.2630860126,0.28256033828291416,0.0011426634210190967,2.405852040753846E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_strain_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_strain_low_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_strain_high,1688625.0515647228,906697.7319019742,1557808.7366396873,0.28256033828291566,0.001142663421020207,2.4058520407553466E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_strain_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_strain_high_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_modulus_low,701766.2551946918,376809.4470231823,647401.0334075114,0.28256033828290256,0.0011426634210179865,2.4058520407448425E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_modulus_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_modulus_low_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_modulus_high,1228090.9465951119,659416.5322916943,1132951.808465077,0.2825603382829062,0.0011426634210194297,2.4058520407553466E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_modulus_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_modulus_high_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_poisson_low,901281.547250966,483556.8256811621,830464.9970646936,0.2825603382829106,0.0011426634210176534,2.405852040753846E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_poisson_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_poisson_low_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_poisson_high,1037946.644177524,557993.8484183392,959290.6143590442,0.28256033828290406,0.0011426634210197628,2.4058520407448425E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_poisson_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_poisson_high_charge_metrics.csv
FULLCELL_NFMZC_charge_1C_radius_low,679183.3350502494,374830.56109260564,654496.6025325895,0.2556238233558594,8.254452857228145E-4,8.521215447569345E-6,7150,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFMZC_charge_1C_radius_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFMZC_charge_1C_radius_low_charge_metrics.csv
