check,value,limit,pass
mass_balance_relative_error,1.8490599135661444E-4,0.01,true
cutoff_voltage_error_V,0.00747528973696987,0.05,true
positive_xNa_monotonic,true,1,true
initial_maximum_stress_Pa,2.934208200658514E-21,1000.0,true
initial_zero_stress_applicable,true,1,true
negative_capacity_ratio,1.0147289972202618,1.0,true
quantitative_ready,false,1,false
voltage_rmse_V,0.6486096836205889,0.1,false
voltage_rmse_publication_target_V,0.6486096836205889,0.05,false
cutoff_capacity_relative_error,0.6559861786705553,0.05,false
experimental_curve_applicable,true,1,true
