% Model,FULLCELL_NFM_charge_1C_mesh_fine.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:01"
% Dimension,3
% Nodes,46054
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=1906.7
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
1.6056074542205022E-6,6.213607454220502E-6,6.013610804398351E-7,NaN
1.0068606827952948E-6,5.54720883144732E-6,0,NaN
0,6.368048217923982E-6,0,NaN
1.6051839749812883E-6,5.7593505020432915E-6,8.544919489619576E-7,NaN
1.6056074542205022E-6,6.213607454220502E-6,6.013610804398351E-7,NaN
1.0068606827952948E-6,5.54720883144732E-6,0,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
0,5.767627511789476E-6,9.164009917035731E-7,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,6.368048217923982E-6,0,NaN
5.867351620202983E-7,6.214185842526769E-6,1.6461036998794156E-6,NaN
0,6.286117770933043E-6,1.9186846493647553E-6,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,5.767627511789476E-6,9.164009917035731E-7,NaN
5.867351620202983E-7,6.214185842526769E-6,1.6461036998794156E-6,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
0,5.767627511789476E-6,9.164009917035731E-7,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
6.178289074345917E-7,7.344160482552178E-6,1.519536656070776E-6,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,7.091466500065856E-6,1.935636538986996E-6,NaN
0,7.115050996778451E-6,1.1118965561211874E-6,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
0,7.115050996778451E-6,1.1118965561211874E-6,NaN
0,6.368048217923982E-6,0,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,6.368048217923982E-6,0,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
6.178289074345917E-7,7.344160482552178E-6,1.519536656070776E-6,NaN
9.045276325496448E-7,7.3576456844956E-6,1.071021964591496E-6,NaN
0,7.115050996778451E-6,1.1118965561211874E-6,NaN
0,8.121519710508738E-6,8.825205960810216E-7,NaN
6.178289074345917E-7,7.344160482552178E-6,1.519536656070776E-6,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,7.115050996778451E-6,1.1118965561211874E-6,NaN
9.045276325496448E-7,7.3576456844956E-6,1.071021964591496E-6,NaN
9.045276325496448E-7,7.3576456844956E-6,1.071021964591496E-6,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
0,7.115050996778451E-6,1.1118965561211874E-6,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
1.3326435764373564E-6,6.804E-6,6.165647572967343E-7,NaN
1.6056074542205022E-6,6.213607454220502E-6,6.013610804398351E-7,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
0,6.368048217923982E-6,0,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
1.3326435764373564E-6,6.804E-6,6.165647572967343E-7,NaN
1.0048785856156765E-6,6.091785544555658E-6,1.0497101825231063E-6,NaN
0,6.368048217923982E-6,0,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
9.045276325496448E-7,7.3576456844956E-6,1.071021964591496E-6,NaN
6.165647572967454E-7,6.804E-6,1.3326435764373359E-6,NaN
1.3326435764373564E-6,6.804E-6,6.165647572967343E-7,NaN
1.3326435764373564E-6,6.804E-6,6.165647572967343E-7,NaN
7.386815445520229E-7,7.0788054200006925E-6,5.798401794266093E-7,NaN
