% Model,FULLCELL_NFM_charge_1C_radius_high.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:35"
% Dimension,3
% Nodes,30733
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=953.33
2.5253999999999996E-6,9.894600000000002E-6,2.5253999999999996E-6,NaN
2.3223647324412885E-6,1.035E-5,2.291972738526672E-6,NaN
2.365029021538597E-6,1.035E-5,3.1429447062303656E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
3.4525969614473876E-6,9.675331151378484E-6,2.5253999999999996E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
3.4141947964278406E-6,9.434585020728424E-6,1.5751936840491456E-6,NaN
2.5253999999999996E-6,9.894600000000002E-6,2.5253999999999996E-6,NaN
3.4525969614473876E-6,9.675331151378484E-6,2.5253999999999996E-6,NaN
3.191165006905797E-6,9.683230450688778E-6,3.1476136316026476E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
2.5253999999999996E-6,9.894600000000002E-6,2.5253999999999996E-6,NaN
3.191165006905797E-6,9.683230450688778E-6,3.1476136316026476E-6,NaN
3.4525969614473876E-6,9.675331151378484E-6,2.5253999999999996E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
3.4677492856738374E-6,1.035E-5,3.4323444512490672E-6,NaN
2.5253999999999996E-6,9.894600000000002E-6,2.5253999999999996E-6,NaN
2.365029021538597E-6,1.035E-5,3.1429447062303656E-6,NaN
3.191165006905797E-6,9.683230450688778E-6,3.1476136316026476E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
3.191165006905797E-6,9.683230450688778E-6,3.1476136316026476E-6,NaN
3.4525969614473876E-6,9.675331151378484E-6,2.5253999999999996E-6,NaN
3.4677492856738374E-6,1.035E-5,3.4323444512490672E-6,NaN
3.1944649428459244E-6,1.035E-5,2.244880843653772E-6,NaN
