% Model,FULLCELL_NFM_charge_1C_radius_low.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:34"
% Dimension,3
% Nodes,27383
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=953.33
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.5392700354273398E-6,7.650000000000001E-6,2.2319887201987183E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.5392700354273398E-6,7.650000000000001E-6,2.2319887201987183E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
2.2081461059859387E-6,7.650000000000001E-6,1.612060931686745E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
7.437088393194504E-7,7.650000000000001E-6,7.987649784821398E-7,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.542269310695951E-6,7.073582120130464E-6,5.060856048553E-7,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.53670098984245E-6,7.650000000000001E-6,9.285218913974842E-7,NaN
1.542269310695951E-6,7.073582120130464E-6,5.060856048553E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
1.71266935257473E-6,6.800631414331841E-6,0,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.71266935257473E-6,6.800631414331841E-6,0,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
1.542269310695951E-6,7.073582120130464E-6,5.060856048553E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.4237442754610451E-6,6.907805455506046E-6,9.282550853383801E-7,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,7.1259199562977674E-6,1.1327470399717374E-6,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
2.039190067225015E-6,7.055042759176345E-6,6.104532987015864E-7,NaN
1.8666000000000003E-6,6.517252960028249E-6,5.240800437022248E-7,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
8.766371929927889E-7,7.650000000000001E-6,1.6101273751310594E-6,NaN
1.4395866761500986E-6,7.15901686848014E-6,1.3506175851760488E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.5392700354273398E-6,7.650000000000001E-6,2.2319887201987183E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
1.5399188864924795E-6,7.650000000000001E-6,1.6118584916005926E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
1.5392700354273398E-6,7.650000000000001E-6,2.2319887201987183E-6,NaN
8.766371929927889E-7,7.650000000000001E-6,1.6101273751310594E-6,NaN
1.8666000000000003E-6,6.5989341633133446E-6,3.1611284965842996E-6,NaN
1.8181523261318736E-6,7.650000000000001E-6,3.113617109898445E-6,NaN
2.344684701683514E-6,7.007942307444776E-6,3.589760903616582E-6,NaN
1.8666000000000003E-6,7.151331720584098E-6,2.5519194932437227E-6,NaN
1.8666000000000003E-6,7.313400000000001E-6,1.8666000000000003E-6,NaN
1.5392700354273398E-6,7.650000000000001E-6,2.2319887201987183E-6,NaN
1.8666000000000003E-6,7.151331720584098E-6,2.5519194932437227E-6,NaN
1.8666000000000003E-6,7.151331720584098E-6,2.5519194932437227E-6,NaN
1.8181523261318736E-6,7.650000000000001E-6,3.113617109898445E-6,NaN
