case,maximum_von_mises_Pa,maximum_average_stress_Pa,stress_p95_Pa,final_average_xNa,maximum_concentration_delta_xNa,mass_balance_relative_error,element_count,quantitative_ready,mph,metrics
FULLCELL_NFM_charge_1C,2236967.121762257,1201152.9633846988,2063735.4769522443,0.28410034687370683,0.0019426531731835395,2.4006957033612756E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_charge_metrics.csv
FULLCELL_NFM_charge_1C_diffusion_low,3195435.334405384,1715918.9585124445,2948145.894265153,0.28412968627449925,0.002775211150910506,2.4006181962615155E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_diffusion_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_diffusion_low_charge_metrics.csv
FULLCELL_NFM_charge_1C_diffusion_high,1720801.0340874845,923967.8375401557,1587497.9037539745,0.28382281600170417,0.0014943556723676643,2.4016472630350444E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_diffusion_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_diffusion_high_charge_metrics.csv
FULLCELL_NFM_charge_1C_strain_low,1491311.414528545,800768.6422533685,1375823.6512805955,0.28410034900694126,0.0019426531731749908,2.400716576612714E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_strain_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_strain_low_charge_metrics.csv
FULLCELL_NFM_charge_1C_strain_high,3728278.5363185816,2001921.6056408167,3439559.128198737,0.2841003490069257,0.001942653173181541,2.4007165766187037E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_strain_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_strain_high_charge_metrics.csv
FULLCELL_NFM_charge_1C_modulus_low,1491311.414527285,800768.6422544788,1375823.6512788641,0.2841003490069397,0.0019426531731767671,2.4007165766097192E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_modulus_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_modulus_low_charge_metrics.csv
FULLCELL_NFM_charge_1C_modulus_high,2982622.8290488576,1601537.2845064215,2751647.302557907,0.28410034900695624,0.0019426531731755459,2.4007165766067243E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_modulus_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_modulus_high_charge_metrics.csv
FULLCELL_NFM_charge_1C_poisson_low,2089474.5307721137,1121040.3201128584,1925313.4992539238,0.28410034900694003,0.0019426531731753238,2.4007165766202012E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_poisson_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_poisson_low_charge_metrics.csv
FULLCELL_NFM_charge_1C_poisson_high,2406179.928819026,1293610.0474365028,2223957.0604160866,0.28410034900691733,0.0019426531731777663,2.4007165766112165E-4,7130,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_poisson_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_poisson_high_charge_metrics.csv
FULLCELL_NFM_charge_1C_radius_low,1572098.127645398,868972.2449287114,1517099.3584383635,0.25704747458868643,0.0014033433718931843,8.505020239787113E-6,7150,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_radius_low.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_radius_low_charge_metrics.csv
FULLCELL_NFM_charge_1C_radius_high,2892571.222109878,1586961.3974818068,2706083.8264075834,0.3113148326435482,0.0025690740304866733,4.4957030119893964E-4,8304,false,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/mph/FULLCELL_NFM_charge_1C_radius_high.mph,/Users/guo/Documents/workspace/Comsol/comsol-na-stress/output/csv/FULLCELL_NFM_charge_1C_radius_high_charge_metrics.csv
