check,value,limit,pass
mass_balance_relative_error,1.2127903850975922E-5,0.01,true
cutoff_voltage_error_V,0.051865134085284925,0.05,false
positive_xNa_monotonic,true,1,true
initial_maximum_stress_Pa,821155.3188383061,1000.0,false
initial_zero_stress_applicable,false,1,false
negative_capacity_ratio,1.0147289972202618,1.0,true
quantitative_ready,false,1,false
voltage_rmse_V,NaN,0.1,false
voltage_rmse_publication_target_V,NaN,0.05,false
cutoff_capacity_relative_error,NaN,0.05,false
experimental_curve_applicable,false,1,false
