time_s,cell_voltage_V,specific_capacity_mAh_g,average_positive_xNa,positive_desodiation_fraction,surface_positive_xNa,center_positive_xNa,surface_center_delta_xNa,maximum_von_mises_Pa,average_von_mises_Pa,stress_stddev_Pa,mass_balance_relative_error,negative_capacity_ratio,average_electrolyte_concentration_mol_m3,quantitative_ready
0.0,4.270985325614237,0.0,0.2841003472767836,0.8948745659040205,0.2833233189925699,0.28526591519311345,-0.0019425962005435449,2236921.2059832904,1201123.5127520247,516134.226590215,2.400695702037532E-4,1.0147289972202618,1000.023587220262,0.0
1.0,4.111858739761515,0.04861111111111112,0.2841306517651515,0.8948366852935605,0.28390335223005764,0.2850070088109317,-0.0011036565808740795,1205259.259671174,705212.2443421464,180843.3764405713,2.4005940790399404E-4,1.0147289972202618,999.9977486906994,0.0
2.0,4.111236553790156,0.09722222222222224,0.2841868481492237,0.8947664398134704,0.2841132232896832,0.28478515608955857,-6.719327998753744E-4,811482.3421786038,402206.679696121,109468.02929843779,2.400405630269314E-4,1.0147289972202618,999.9944161269631,0.0
3.0,4.11066066564261,0.14583333333333334,0.28426191441442533,0.8946726069819683,0.2843003691674189,0.2846125770022633,-3.122078348443691E-4,575040.1985473871,175996.50570840298,104752.69254891243,2.4001539032971993E-4,1.0147289972202618,999.9920145445502,0.0
4.0,4.110090245853033,0.19444444444444448,0.28435461949170515,0.8945567256353685,0.2844845973564831,0.2844943287585468,-9.731402063672956E-6,394926.7464178607,129912.34628806914,69048.52263354883,2.39984302637547E-4,1.0147289972202618,999.989809524774,0.0
5.0,4.109508492134155,0.24305555555555555,0.2844653729237434,0.8944182838453207,0.2846740686586453,0.2844282658035985,2.458028550468283E-4,579086.0183697012,201580.41174365213,149553.24559443493,2.39947162614702E-4,1.0147289972202618,999.9876594817323,0.0
6.0,4.108904636529605,0.2916666666666667,0.2845942640048037,0.8942571699939953,0.2848735102050419,0.2844075579957037,4.6595220933820514E-4,771923.803363449,309899.6544942007,212343.47790624242,2.399039403182229E-4,1.0147289972202618,999.9855257592523,0.0
7.0,4.108271083580529,0.3402777777777778,0.28474267167554623,0.8940716604055672,0.28508699988586467,0.2844272425717236,6.597573141410851E-4,950504.5393859755,423621.95788960496,253164.03536404364,2.398541733349452E-4,1.0147289972202618,999.9833969950944,0.0
8.0,4.1076154882086975,0.38888888888888895,0.28490231304225017,0.8938721086971874,0.28530914353119025,0.2844684222921924,8.407212389978658E-4,1124848.6811426359,532063.6118676387,291181.6229638606,2.3980063924791475E-4,1.0147289972202618,999.9812713016183,0.0
9.0,4.106931152239235,0.4375,0.285077791038764,0.8936527612015449,0.28554445242904325,0.28453665380107845,0.0010077986279647955,1300057.2507742865,633037.5565352109,328258.8155798704,2.397417945116625E-4,1.0147289972202618,999.9791463666852,0.0
10.0,4.106211317439728,0.4861111111111111,0.28527063997636987,0.8934117000295377,0.28579507640172097,0.2846312281506039,0.0011638482511170944,1468456.1312451318,727971.1620162395,364832.6388059519,2.396771246055914E-4,1.0147289972202618,999.9770220948869,0.0
11.0,4.105579019739919,0.5347222222222222,0.2854692792276736,0.8931634009654079,0.28602525015115593,0.28474987097447146,0.0012753791766844658,1574453.3215890653,798201.7284428409,383814.3778747076,2.3961051298063984E-4,1.0147289972202618,999.9764026013494,0.0
12.0,4.104979348100236,0.5833333333333334,0.2856698485835428,0.8929126892705715,0.2862431608600649,0.2848896492351372,0.0013535116249276946,1635621.0745323307,845907.0277742887,391822.41336348135,2.3954325411631105E-4,1.0147289972202618,999.9763437230399,0.0
13.0,4.104393719501303,0.6319444444444445,0.2858710613076004,0.8926611733654994,0.28645459404781637,0.28504740924150807,0.0014071848063083037,1671297.8175632332,876874.9249687567,394960.4722018988,2.394757795028777E-4,1.0147289972202618,999.976377696534,0.0
14.0,4.103826031138312,0.6805555555555556,0.2860724884877213,0.8924093893903484,0.28666225297703996,0.28521963395790884,0.0014426190191311195,1692674.5958044603,896385.4671327665,396272.0487581966,2.3940823297347548E-4,1.0147289972202618,999.9763970708423,0.0
15.0,4.103262522015797,0.7291666666666667,0.28627398715319646,0.8921575160585044,0.28686757678611513,0.28540256496291666,0.00146501182319847,1705694.5620706715,908420.830783711,396948.92189392523,2.3934066247278244E-4,1.0147289972202618,999.9764023518092,0.0
16.0,4.102706551137084,0.7777777777777779,0.2864755096471227,0.8919056129410965,0.28707143865617574,0.2855927630056062,0.0014786756505695275,1713652.9358050718,915735.7873751145,397378.513901224,2.3927308397991208E-4,1.0147289972202618,999.9764019210927,0.0
17.0,4.1021533815233875,0.826388888888889,0.28667704008386635,0.8916536998951671,0.2872743900848865,0.2857875557118168,0.0014868343730696787,1718496.2700975072,920136.9475601591,397672.0716927587,2.392055028281738E-4,1.0147289972202618,999.9764015093718,0.0
18.0,4.101611386114623,0.875,0.2868785731682151,0.8914017835397311,0.2874767797247642,0.2859851203328988,0.0014916593918654075,1721420.8428286158,922767.0789802383,397868.8028542218,2.3913792078350752E-4,1.0147289972202618,999.97640115749,0.0
19.0,4.101069847885919,0.9236111111111112,0.2870801071351002,0.8911498660811248,0.2876788262131035,0.28618431900520763,0.0014945072078958455,1723172.1281040583,924331.6878042489,397994.59217756,2.3907033844638973E-4,1.0147289972202618,999.9764010637132,0.0
20.0,4.100524240415052,0.9722222222222222,0.28728164145499874,0.8908979481812515,0.28788062372346324,0.2863846670638516,0.0014959566596116636,1724071.1003248673,925132.1311547803,398061.8101170511,2.390027559878289E-4,1.0147289972202618,999.9764007916472,0.0
